Прайс-лист от 05.08.2025 от ИП Ефимов Дмитрий Юрьевич на 05.08.2025 г.;
Наименование;Артикул
Cкоба d6x2 5041-022;5041-022
Адаптер – удлинитель – 100-132-1, M8х1,25 Х М8х1,25;100-132-1
Адаптер – удлинитель L20, 100-130-1, M8х1,25 Х М8х1,25;100-130-1
"Адаптер 1/8 "" 45 град, арт 100-844";100-844
"Адаптер 1/8 "" 90 град, арт 100-744";100-744
Адаптер 1/8 | G1 M 8 x 1 арт.100-155;100-155
Адаптер 2510-102 М6хМ6;2510-102
Адаптер 45 гр. 100-833;100-833
Адаптер 45 гр. 5010-101;5010-101
Адаптер 45гр. 100-822;100-822
Адаптер 45гр. М8х1 М10х1 100-823;100-823
Адаптер 90 гр М8х1 на М8х1 арт. 100-722;100-722
Адаптер 90 гр. 100-732;100-732
Адаптер 90 гр. 5011-105;5011-105
Адаптер 90гр. 100-721;100-721
Адаптер 90гр. 100-723;100-723
Адаптер 90гр. 100-733;100-733
Адаптер апямой  М8х1 на М8х1 арт. 100-132;100-132
"Адаптер арт. 100-161 1/4""x 1/4""";100-161
Адаптер М10х1 100-143;100-143
Адаптер М10х1 х М10х1 100-141;100-141
Адаптер М10х1 х М10х1 L35, 100-145;100-145
Адаптер М10х1хМ10х1 18мм 100-142;100-142
Адаптер М10х1хМ10х1 50мм 100-146;100-146
Адаптер М6х1хМ6х1 90гр. 100-711;100-711
"Адаптер М8х1 - 1/8""L 23mm";100-170
Блок  ниппелей 2 вых. в комплекте 100-212;100-212
Блок ,прямое сверление 1 вых. арт. 5029-201;5029-201
Блок для ниппелей 100-211;100-211
Блок для ниппелей 100-213;100-213VA
Блок монтажный для 4 пресс-масленок G1/8;5029-314
Блок монтажный для 4 пресс-масленок M10x1;5029-214
"Блок монтажный нерж. для 3-х пресс масленок1/8""";5029-213VA
Блок монтажный нерж. для 4 пресс-масленок M10x1;5029-214VA
Блок монтажный нерж.для 2-х пресс масленок;5029-212VA
Блок нипельный SALPI K1-106;K1-106
"Блок ниппелей 1 выход 1/8""";5029-111
Блок ниппелей 1 выход М10х1 арт 100-210-1;100-210-1
"Блок ниппелей 2 выхода 1/8""";5029-112
Блок ниппелей 2 выхода 100-210-2 М10х1;100-210-2
Блок ниппелей 3 выхода;5029-103
"Блок ниппелей 3 выхода 1/8"" , арт.5029-113";5029-113
"Блок ниппелей 4 выхода 1/8""";5029-114
Блок ниппелей 4 выхода 100-214 М10х1;100-214
"Блок ниппелей 5 выходов 1/8"" арт 5029-115";5029-115
Блок ниппелей 5 выходов 100-215  М10х1;100-215
Блок ниппелей 6 выходов 100-216;100-216
Блок ниппелей 6 выходов арт.5029-216;5029-216
Блок ниппелей 8 вых. М10х1 арт 5029-218;5029-218
Блок ниппелей 8 выходов 100-218   М10х1;100-218
Блок ниппелей, Т-образное сверление арт. 5029-216VA;5029-216VA-T
Врезное кольцо 106-210-L;106-21-L
Втулка винтовая № кат.0100-050-SW;0100-050
Втулка винтовая монтажная 4,1x8,75, 0100500;0100500
Втулка винтовая монтажная 4,1x8,75,100-050;100-050
Втулка винтовая монтажная 4,1x8,75,100-050SW;100-050SW
Втулка винтовая нерж. сталь арт.100-050VA;100-050-VA
Втулка вставная   Арт - 104-203;104-203
Втулка вставная Арт - 106-203;106-203
Гайка 8мм 108-200;108-200
Гайка для муфты d6 мм 1/4 0092014;0092014
Гайка для муфты М8х1 4мм 5015-001;5015-001
Гайка накидная 106-210VA;106-210VA
Гайка накидная 106-220;106-220
Гайка накидная 4 мм 104-200;104-200
Гайка накидная 6 106-200;106-200
Заглушка Salpi Арт.100-243;100-243
Кольцо врезное 110-210 ,d10mm;110-210
Кольцо врезное 4 мм 104-210;104-210
Кольцо врезное 6 106-210;106-210
Кольцо врезное 8 мм 920008;920008
Кольцо врезное D8мм 108-210;108-210
Кольцо врезное D8мм 108-210L;108-210-Д
Корпус обратный клапан 106-033-RVL;106-033К
Корпус соединительный 104-032;104-032
Корпус соединительный М6х1.104-131;104-131
